,iter,method,n,mse_train,mse_val,mse_test,R2_train,R2_val,R2_test,early_stopping,optimizer,residual_connection,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,mode,verbose,mlp_depth,init_type,max_iter,order0,n_iter_no_change,add_mask,imputation_type,mdm,n_features,missing_rate,prop_latent,snr,masking,prop_for_masking,link,curvature,sm_type,sm_param,perm,width_factor,max_leaf_nodes,min_samples_leaf
72,2,NeuMiss_uniform_,100000,0.5301673554790779,0.538067774152432,0.5642502974280862,0.5842285163389292,0.5732260073294289,0.5600590061692279,True,adam,True,20.0,1000.0,,0.005,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,1.0,,
73,3,NeuMiss_uniform_,100000,0.5087091108957049,0.5150732843337164,0.535950266709697,0.603326597639401,0.5929378839741456,0.5736583672500023,True,adam,True,20.0,1000.0,,0.005,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,1.0,,
74,4,NeuMiss_uniform_,100000,0.5184208596006368,0.5239195474133347,0.5359872953850884,0.5959727220657689,0.5848654050242272,0.580957012071325,True,adam,True,20.0,1000.0,,0.005,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,1.0,,
75,5,NeuMiss_uniform_,100000,0.5484819888876131,0.5560137657955541,0.5619424362548393,0.5706904538987302,0.5474835136583162,0.5637075772317404,True,adam,True,20.0,1000.0,,0.005,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,1.0,,
76,6,NeuMiss_uniform_,100000,0.5552913080483552,0.5884064241580937,0.5817537125155217,0.5650029381587154,0.5279474701550742,0.5469164454700741,True,adam,True,20.0,1000.0,,0.005,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,1.0,,
77,7,NeuMiss_uniform_,100000,0.5015151572827955,0.5041560177294767,0.5170138501431738,0.6094895016047732,0.5970038358978051,0.5927903471968002,True,adam,True,20.0,1000.0,,0.005,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,1.0,,
78,8,NeuMiss_uniform_,100000,0.5591787827879082,0.5736404130355693,0.5751949861819561,0.5618856305690014,0.544104398435495,0.5445989736887376,True,adam,True,20.0,1000.0,,0.005,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,1.0,,
79,9,NeuMiss_uniform_,100000,0.5078642160705034,0.5262858735352484,0.5390022443472254,0.6033579026899172,0.5935857402370072,0.5795603369728699,True,adam,True,20.0,1000.0,,0.005,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,1.0,,
80,0,NeuMiss_uniform_,100000,0.19341847178727858,0.2504499879020288,0.23584549291264734,0.848839580144767,0.8010951383348136,0.8121302337586979,True,adam,True,20.0,1000.0,,0.001,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,1.0,,
81,1,NeuMiss_uniform_,100000,0.21735348120364623,0.27228548904731126,0.2667859602722542,0.8300267129166553,0.7893460297293037,0.7920874568459635,True,adam,True,20.0,1000.0,,0.001,1e-06,100.0,,,shared,False,1.0,uniform,,,,False,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,1.0,,
